latitude,longitude,date
25.613282,-100.271268,2025-02-25
25.643085,-100.274016,2025-02-25
25.66272,-100.297086,2025-02-25
25.666074,-100.297433,2025-02-25
25.661803,-100.307121,2025-02-25
25.726831,-100.39487,2025-02-25
25.674464,-100.372081,2025-02-25
25.677862,-100.358673,2025-02-25
25.741645,-100.405894,2025-02-25
25.743238,-100.403378,2025-02-25
25.675301,-100.364822,2025-02-25
25.765502,-100.410986,2025-02-25
25.705834,-100.316805,2025-02-25
25.683608,-100.318156,2025-02-25
25.684434,-100.318187,2025-02-25
25.668235,-100.345326,2025-02-25
25.666074,-100.297433,2025-02-25
25.672611,-100.359536,2025-02-25
25.671964,-100.335778,2025-02-25
25.673066,-100.298476,2025-02-25
25.67203,-100.298316,2025-02-25
25.673066,-100.298476,2025-02-25
25.696373,-100.343798,2025-02-25
25.688125,-100.351498,2025-02-25
25.691643,-100.351527,2025-02-25
25.688125,-100.351498,2025-02-25
25.688125,-100.351498,2025-02-25
25.705718,-100.291355,2025-02-25
25.716841,-100.384798,2025-02-25
25.745238,-100.387315,2025-02-25
25.734056,-100.400717,2025-02-25
25.643085,-100.274016,2025-02-25
25.7319,-100.398845,2025-02-25
25.7319,-100.398845,2025-02-25
25.760449,-100.403763,2025-02-25
25.660392,-100.299306,2025-02-25
25.661941,-100.302909,2025-02-25
25.661457,-100.30501,2025-02-25
25.661941,-100.302909,2025-02-25
25.692285,-100.351507,2025-02-25
25.694479,-100.351402,2025-02-25
25.696919,-100.357178,2025-02-25
25.665131,-100.317746,2025-02-25
25.666777,-100.327098,2025-02-25
25.665131,-100.317746,2025-02-25
25.696919,-100.357178,2025-02-25
25.709954,-100.374775,2025-02-25
25.753361,-100.393477,2025-02-25
25.721886,-100.332677,2025-02-25
25.721886,-100.332677,2025-02-25
25.671446,-100.383081,2025-02-25
25.690831,-100.311403,2025-02-25
25.667543,-100.303601,2025-02-25
25.687483,-100.346808,2025-02-25
25.72064,-100.387057,2025-02-25
25.72153,-100.360533,2025-02-25
25.724239,-100.326843,2025-02-25
